"","columna1","columna2"
"1",3.54356177761743,"b"
"2",1.91911518941998,"b"
"3",3.61381077197881,"b"
"4",5.23769886600912,"b"
"5",2.27058108402618,"b"
"6",6.17996535873463,"b"
"7",5.57868805763467,"b"
"8",3.19156994875872,"b"
"9",5.45264988476213,"b"
"10",6.49616232498769,"b"
"11",7.12219050652348,"b"
"12",4.57430344270694,"b"
"13",4.81272641217791,"b"
"14",4.82657173003615,"b"
"15",7.88292351211009,"b"
"16",7.25014378455599,"b"
"17",6.66880313551408,"b"
"18",4.42531840031861,"b"
"19",5.74648286833281,"b"
"20",5.80658066244139,"b"
"21",2.91665341142136,"b"
"22",1.54339096935851,"b"
"23",6.28366005530323,"b"
"24",1.94137893763916,"b"
"25",5.00336737696842,"b"
"26",5.50049564269666,"b"
"27",6.12773478061177,"b"
"28",5.37885247502962,"b"
"29",3.53429238740575,"b"
"30",6.97273171979092,"b"
"31",8.47726753381249,"b"
"32",6.76235761785089,"b"
"33",1.11269819735205,"b"
"34",7.79915237080589,"b"
"35",4.88788810762746,"b"
"36",6.04982855863858,"b"
"37",6.24406647174212,"b"
"38",4.80662785358659,"b"
"39",4.84947360470255,"b"
"40",7.0383141386618,"b"
"41",6.42320384497249,"b"
"42",6.98052449208846,"b"
"43",9.76585339046066,"b"
"44",6.32883172738817,"b"
"45",5.41476231477061,"b"
"46",0.578733778848759,"b"
"47",10.3834280064922,"b"
"48",4.03464635640738,"b"
"49",9.74946943019079,"b"
"50",5.74928713600998,"b"
"51",8.07686039779359,"b"
"52",4.78057935764752,"b"
"53",6.02294150939625,"b"
"54",5.42791595928452,"b"
"55",4.62775860125301,"b"
"56",4.75921235075501,"b"
"57",7.02566867168851,"b"
"58",4.597083706057,"b"
"59",0.9246350111184,"b"
"60",4.60822150234034,"b"
"61",6.07958121107255,"b"
"62",6.23291143270288,"b"
"63",6.23313563495487,"b"
"64",1.61579695826184,"b"
"65",5.73748411602239,"b"
"66",6.93571841989413,"b"
"67",7.55315736293531,"b"
"68",4.55007745791177,"b"
"69",4.3562148276344,"b"
"70",7.97567566375608,"b"
"71",1.66414390844136,"b"
"72",4.12634004617375,"b"
"73",5.91492415871491,"b"
"74",1.76445246923755,"b"
"75",5.55925572486352,"b"
"76",8.75572804210439,"b"
"77",4.99187869312732,"b"
"78",4.44309195007283,"b"
"79",5.94982342806811,"b"
"80",4.44185565842539,"b"
"81",6.62680074815813,"b"
"82",6.80887092889939,"b"
"83",5.00538332246024,"b"
"84",2.64661568450055,"b"
"85",2.36355854508182,"b"
"86",3.81400526868937,"b"
"87",6.59476100109967,"b"
"88",1.08358965068615,"b"
"89",1.22734968253491,"b"
"90",3.69244035047979,"b"
"91",5.78878969596117,"b"
"92",3.17286790367002,"b"
"93",6.77349807419212,"b"
"94",5.66673994031036,"b"
"95",4.65872076352278,"b"
"96",6.63765627306356,"b"
"97",5.77673032563874,"b"
"98",4.10812994557569,"b"
"99",5.46222986883632,"b"
"100",6.29502671595518,"b"
