"","columna1","columna2"
"1",5.14802452056398,"a"
"2",2.94530606717252,"a"
"3",2.93333931544816,"a"
"4",-0.0321352463021984,"a"
"5",4.58077068777646,"a"
"6",2.57853163861645,"a"
"7",1.68651414927785,"a"
"8",0.175948414683383,"a"
"9",2.40047500670746,"a"
"10",1.30187772996658,"a"
"11",2.20593895934433,"a"
"12",0.564800024472805,"a"
"13",6.3751789658914,"a"
"14",2.96799494558406,"a"
"15",5.14989015454477,"a"
"16",-2.2033993405153,"a"
"17",2.09360434001032,"a"
"18",1.64903541681586,"a"
"19",0.554147641268174,"a"
"20",6.09321830844819,"a"
"21",0.16943616046102,"a"
"22",3.63678052081605,"a"
"23",4.69287257115938,"a"
"24",3.35638037683605,"a"
"25",1.24948904500897,"a"
"26",4.88233161344833,"a"
"27",3.34117616368168,"a"
"28",0.873004187235913,"a"
"29",0.223901904795877,"a"
"30",7.17343486898629,"a"
"31",1.64299370916313,"a"
"32",-0.71114330783608,"a"
"33",4.0665187255073,"a"
"34",3.62046051212179,"a"
"35",0.292331328554803,"a"
"36",-0.8859128271639,"a"
"37",2.76739496568279,"a"
"38",5.27879258341884,"a"
"39",4.2722480703643,"a"
"40",2.01412515167605,"a"
"41",1.33162353683124,"a"
"42",3.54213351350109,"a"
"43",3.31470669443232,"a"
"44",4.25942349338546,"a"
"45",2.20840409942221,"a"
"46",4.7987081064062,"a"
"47",1.3383769453275,"a"
"48",2.33891059976007,"a"
"49",4.48162904745181,"a"
"50",4.97994321725423,"a"
"51",-0.877009402906759,"a"
"52",3.21438081403231,"a"
"53",4.21755802346926,"a"
"54",0.0983513730187373,"a"
"55",3.96125119975043,"a"
"56",1.34365145920641,"a"
"57",5.04050602432886,"a"
"58",4.07696406420528,"a"
"59",4.53810458999122,"a"
"60",3.24143865857407,"a"
"61",4.72729686831551,"a"
"62",5.76102905662908,"a"
"63",6.93249603091127,"a"
"64",2.94320989050187,"a"
"65",-1.49810218066481,"a"
"66",3.06305200918798,"a"
"67",3.41112241689995,"a"
"68",2.6893093057112,"a"
"69",4.13657724155415,"a"
"70",5.02135592902853,"a"
"71",1.96403513966436,"a"
"72",2.41180934568778,"a"
"73",3.79568441760068,"a"
"74",1.89955251702172,"a"
"75",3.18253476697647,"a"
"76",-0.923415197770604,"a"
"77",0.760200557204752,"a"
"78",0.34448904879175,"a"
"79",1.29275260654552,"a"
"80",1.61339094413867,"a"
"81",3.76461028509274,"a"
"82",4.96422600504528,"a"
"83",1.54523294182493,"a"
"84",1.00632203524399,"a"
"85",0.916622282020981,"a"
"86",2.17082254727265,"a"
"87",2.52194186369487,"a"
"88",3.96723506767654,"a"
"89",2.35735031566322,"a"
"90",-1.15697853772005,"a"
"91",2.81713144889972,"a"
"92",5.37437362130311,"a"
"93",5.38320253702065,"a"
"94",1.42207356377754,"a"
"95",-0.0955530872751416,"a"
"96",7.91612098373055,"a"
"97",2.67515611504116,"a"
"98",2.80509749978877,"a"
"99",3.84114837739629,"a"
"100",-0.228078913238239,"a"
